PM2.5,PM10,PM1.0,DATE,ID
6,7,4,2020-11-04 16:51:04,2
5,5,2,2020-11-04 16:51:34,2
5,5,3,2020-11-04 16:52:04,2
4,4,4,2020-11-04 16:52:35,2
4,5,4,2020-11-04 16:53:05,2
7,9,4,2020-11-04 16:53:35,2
7,10,5,2020-11-04 16:54:05,2
7,10,5,2020-11-04 16:54:37,2
5,7,5,2020-11-04 16:55:07,2
4,6,4,2020-11-04 16:55:38,2
12,12,4,2020-11-04 16:56:09,2
12,13,4,2020-11-04 16:56:40,2
11,13,4,2020-11-04 16:57:10,2
6,7,4,2020-11-04 16:57:41,2
7,7,4,2020-11-04 16:58:11,2
7,7,4,2020-11-04 16:58:41,2
5,5,5,2020-11-04 16:59:12,2
4,6,4,2020-11-04 16:59:42,2
7,9,4,2020-11-04 17:00:12,2
7,13,4,2020-11-04 17:00:43,2
7,11,4,2020-11-04 17:01:14,2
10,15,4,2020-11-04 17:01:44,2
10,13,5,2020-11-04 17:02:14,2
9,12,4,2020-11-04 17:02:44,2
7,8,4,2020-11-04 17:03:15,2
6,7,4,2020-11-04 17:03:45,2
9,13,5,2020-11-04 17:04:18,2
6,10,4,2020-11-04 17:04:49,2
6,9,4,2020-11-04 17:05:19,2
8,11,3,2020-11-04 17:05:49,2
13,14,5,2020-11-04 17:06:19,2
12,13,4,2020-11-04 17:06:50,2
8,8,5,2020-11-04 17:07:21,2
7,7,4,2020-11-04 17:07:51,2
7,7,5,2020-11-04 17:08:22,2
7,7,4,2020-11-04 17:08:52,2
4,5,4,2020-11-04 17:09:23,2
8,9,3,2020-11-04 17:09:53,2
8,9,3,2020-11-04 17:10:24,2
9,9,4,2020-11-04 17:10:54,2
6,8,4,2020-11-04 17:11:24,2
7,8,4,2020-11-04 17:11:55,2
13,15,5,2020-11-04 17:12:25,2
10,11,5,2020-11-04 17:12:55,2
12,13,4,2020-11-04 17:13:25,2
6,7,4,2020-11-04 17:13:56,2
9,9,4,2020-11-04 17:14:27,2
9,10,4,2020-11-04 17:14:57,2
9,12,4,2020-11-04 17:15:27,2
7,12,4,2020-11-04 17:15:58,2
7,11,4,2020-11-04 17:16:28,2
12,14,4,2020-11-04 17:16:58,2
11,12,3,2020-11-04 17:17:28,2
9,9,4,2020-11-04 17:17:59,2
6,8,3,2020-11-04 17:18:29,2
6,9,4,2020-11-04 17:18:59,2
6,8,3,2020-11-04 17:19:30,2
3,4,3,2020-11-04 17:20:00,2
4,4,4,2020-11-04 17:20:31,2
5,6,5,2020-11-04 17:21:01,2
5,7,5,2020-11-04 17:21:31,2
7,9,4,2020-11-04 17:22:01,2
7,9,4,2020-11-04 17:22:32,2
9,10,4,2020-11-04 17:23:02,2
7,7,4,2020-11-04 17:23:32,2
7,7,4,2020-11-04 17:24:02,2
4,6,4,2020-11-04 17:24:38,2
7,9,4,2020-11-04 17:25:09,2
7,10,5,2020-11-04 17:25:39,2
10,10,5,2020-11-04 17:26:09,2
9,10,6,2020-11-04 17:26:40,2
13,15,6,2020-11-04 17:27:10,2
12,14,4,2020-11-04 17:27:40,2
14,16,4,2020-11-04 17:28:12,2
11,12,4,2020-11-04 17:28:42,2
9,10,5,2020-11-04 17:29:12,2
7,8,5,2020-11-04 17:29:43,2
5,6,5,2020-11-04 17:30:13,2
5,7,5,2020-11-04 17:30:43,2
5,7,5,2020-11-04 17:31:13,2
4,5,4,2020-11-04 17:31:44,2
4,4,4,2020-11-04 17:32:14,2
4,5,4,2020-11-04 17:32:44,2
4,5,4,2020-11-04 17:33:15,2
4,5,4,2020-11-04 17:33:46,2
3,4,3,2020-11-04 17:34:16,2
6,6,3,2020-11-04 17:34:46,2
8,8,3,2020-11-04 17:35:16,2
11,11,3,2020-11-04 17:35:47,2
9,9,4,2020-11-04 17:36:17,2
9,9,4,2020-11-04 17:36:49,2
9,9,4,2020-11-04 17:37:20,2
9,12,4,2020-11-04 17:37:50,2
7,11,5,2020-11-04 17:38:21,2
5,7,5,2020-11-04 17:38:51,2
6,8,4,2020-11-04 17:39:24,2
7,10,2,2020-11-04 17:39:55,2
9,13,4,2020-11-04 17:40:25,2
5,8,5,2020-11-04 17:40:55,2
8,10,5,2020-11-04 17:41:25,2
7,7,4,2020-11-04 17:41:56,2
9,10,4,2020-11-04 17:42:26,2
9,10,4,2020-11-04 17:42:56,2
9,10,3,2020-11-04 17:43:27,2
9,10,4,2020-11-04 17:43:57,2
6,7,4,2020-11-04 17:44:27,2
10,10,4,2020-11-04 17:44:57,2
7,7,4,2020-11-04 17:45:28,2
9,11,4,2020-11-04 17:45:58,2
8,10,3,2020-11-04 17:46:28,2
9,12,4,2020-11-04 17:46:58,2
8,9,5,2020-11-04 17:47:29,2
5,6,5,2020-11-04 17:47:59,2
7,8,4,2020-11-04 17:48:30,2
9,10,4,2020-11-04 17:49:00,2
9,9,4,2020-11-04 17:49:35,2
4,4,4,2020-11-04 17:50:06,2
4,5,4,2020-11-04 17:50:36,2
