type 0,type 1,type 2,type 3,type 4,type 5,type 6,type 7,type 8,type 9,type 10,type 11,type 12,type 13,type 14,type 15,type 16,type 17,type 18,type 19,type 20,type 21,type 22,type 23,type 24,type 25,type 26,type 27,type 28,type 29,type 30,type 31,type 32,type 33,type 34,type 35,type 36,type 37,type 38,type 39,type 40,type 41,type 42,type 43,type 44,type 45,type 46,type 47,type 48,type 49,type 50,type 51,type 52,type 53,type 54,type 55,type 56,type 57,type 58,type 59,type 60,type 61,type 62,type 63,type 64,type 65,type 66,type 67,type 68,type 69,type 70,type 71,type 72,type 73,type 74,type 75,type 76,type 77,type 78,type 79,type 80,type 81,type 82,type 83,type 84,type 85,type 86,type 87,type 88,type 89,type 90,type 91,type 92,type 93,type 94,type 95,type 96,type 97,type 98,type 99
  3,  9,  11,  4,  35,  63,  18,  2,  8,  124,  4, 9,  3,  6,  6, 40, 49, 66, 56, 36, 45, 16, 14, 27, 12, 117, 54, 6, 11, 21, 16, 7, 14, 15, 10, 13, 15, 8, 10, 9, 18, 5, 10, 10, 13, 9, 14, 8, 8, 8, 6, 3, 12, 7, 9, 5, 4, 6, 7, 8, 4, 14, 22, 21, 15, 15, 12, 9, 11, 19, 10, 7, 9, 7, 15, 16, 9, 20, 11,  64, 26, 23, 36, 5,  6,  13, 17, 15, 14, 17, 4, 27, 2, 61, 117, 37, 65, 120, 68, 72
  11,  25,  32,  10,  16,  21,  4,  1,  4,  145,  7, 4,  6,  6,  24, 54, 38, 54, 45, 33, 56, 12, 13, 27, 13, 106, 60, 9, 19, 22, 19, 12, 11, 13, 13, 16, 11, 10, 9, 10, 14, 7, 7, 12, 11, 9, 14, 9, 7, 8, 5, 7, 12, 9, 7, 11, 5, 4, 5, 7, 5, 12, 22, 21, 11, 11, 13, 11, 17, 16, 11, 8, 12, 10, 16, 15, 8, 23, 10,  75, 27, 26, 52, 5,  14,  11, 27, 26, 20, 9, 11, 25, 3, 62, 113, 13, 23, 120, 79, 73
  9,  48,  20,  7,  5,  49,  15,  2,  24,  117,  18, 21,  7,  25,  25, 61, 31, 54, 45, 42, 51, 6, 13, 22, 15, 129, 54, 11, 24, 21, 18, 13, 6, 12, 10, 16, 9, 10, 7, 12, 13, 7, 5, 14, 8, 6, 12, 7, 7, 10, 6, 7, 9, 12, 6, 13, 5, 5, 7, 6, 6, 15, 21, 16, 9, 9, 17, 12, 17, 8, 13, 15, 14, 11, 19, 13, 13, 26, 9,  67, 31, 22, 43, 6,  15,  9, 19, 51, 46, 7, 6, 6, 32, 59, 138, 2, 47, 143, 69, 72
  8,  43,  25,  9,  10,  38,  15,  12,  8,  147,  19, 21,  15,  17,  19, 60, 30, 52, 44, 52, 55, 6, 13, 23, 14, 152, 57, 11, 26, 16, 13, 17, 8, 10, 8, 18, 12, 10, 7, 11, 12, 7, 7, 11, 6, 11, 7, 7, 10, 10, 8, 10, 9, 11, 11, 11, 5, 9, 10, 6, 9, 18, 18, 14, 10, 10, 18, 14, 22, 11, 12, 14, 13, 12, 17, 12, 15, 17, 13,  77, 30, 24, 31, 6,  9,  8, 18, 49, 38, 16, 9, 19, 18, 59, 157, 10, 42, 150, 76, 74
  14,  27,  10,  4,  3,  39,  5,  3,  37,  215,  5, 2,  5,  26,  17, 60, 34, 48, 47, 43, 68, 9, 13, 24, 15, 106, 60, 8, 24, 17, 10, 15, 12, 18, 8, 13, 11, 11, 9, 11, 13, 4, 7, 20, 6, 8, 5, 4, 10, 11, 11, 11, 11, 9, 9, 6, 9, 12, 10, 10, 11, 21, 17, 14, 12, 12, 14, 13, 23, 13, 8, 17, 12, 12, 23, 12, 16, 9, 12,  85, 33, 27, 34, 6,  27,  14, 17, 32, 27, 14, 6, 12, 31, 56, 112, 6, 40, 107, 82, 76
  35,  25,  26,  4,  6,  70,  4,  3,  27,  169,  10, 9,  18,  16,  15, 62, 40, 58, 65, 38, 65, 10, 11, 46, 16, 140, 61, 5, 19, 19, 9, 16, 11, 18, 8, 10, 10, 10, 13, 10, 15, 6, 10, 18, 5, 6, 5, 9, 12, 7, 11, 11, 12, 10, 8, 4, 9, 11, 12, 11, 11, 15, 18, 15, 17, 17, 15, 13, 24, 17, 10, 12, 9, 20, 21, 10, 14, 14, 12,  89, 38, 23, 38, 7,  15,  35, 18, 35, 23, 37, 34, 10, 14, 71, 135, 5, 74, 155, 90, 94
  73,  46,  24,  6,  6,  36,  5,  3,  23,  207,  16, 20,  9,  27,  6, 54, 41, 61, 56, 44, 60, 13, 9, 51, 15, 119, 61, 5, 15, 25, 8, 13, 11, 22, 11, 10, 5, 10, 15, 9, 11, 9, 9, 19, 4, 6, 5, 14, 12, 7, 9, 10, 10, 8, 4, 7, 8, 7, 8, 15, 7, 11, 25, 22, 20, 20, 18, 11, 20, 15, 12, 17, 9, 24, 20, 9, 13, 16, 12,  107, 37, 21, 43, 11,  16,  70, 34, 55, 47, 74, 76, 10, 30, 57, 125, 9, 37, 117, 104, 107
  69,  18,  25,  2,  21,  20,  6,  2,  17,  231,  5, 6,  8,  16,  6, 48, 41, 61, 42, 41, 47, 15, 9, 34, 14, 212, 59, 7, 14, 27, 12, 9, 13, 16, 9, 8, 10, 6, 13, 8, 10, 10, 9, 13, 4, 10, 4, 15, 12, 6, 7, 6, 10, 7, 10, 8, 4, 4, 7, 12, 6, 12, 30, 24, 19, 19, 17, 17, 18, 11, 19, 18, 9, 19, 15, 10, 18, 13, 14,  131, 41, 23, 45, 14,  16,  75, 41, 23, 19, 74, 65, 23, 21, 62, 209, 19, 23, 210, 129, 132
  121,  23,  25,  6,  10,  31,  5,  2,  31,  215,  11, 11,  6,  16,  24, 48, 43, 54, 39, 38, 41, 16, 11, 30, 24, 232, 56, 9, 10, 24, 15, 8, 15, 18, 8, 9, 10, 13, 11, 7, 8, 9, 10, 10, 6, 12, 4, 12, 10, 7, 5, 7, 9, 5, 9, 10, 5, 6, 4, 10, 6, 14, 31, 22, 19, 19, 17, 18, 18, 13, 18, 18, 11, 10, 15, 12, 15, 15, 14,  115, 53, 24, 52, 12,  24,  121, 38, 28, 18, 124, 117, 7, 23, 57, 233, 9, 37, 234, 117, 111
  130,  24,  23,  4,  27,  95,  9,  5,  4,  248,  12, 8,  18,  24,  26, 51, 45, 59, 46, 60, 41, 15, 10, 30, 27, 156, 51, 11, 16, 17, 18, 10, 16, 12, 8, 12, 10, 10, 8, 13, 7, 8, 14, 13, 8, 11, 9, 8, 5, 4, 6, 8, 11, 6, 9, 11, 5, 7, 6, 8, 8, 18, 24, 21, 23, 23, 16, 17, 17, 16, 17, 12, 14, 6, 16, 14, 14, 13, 11,  108, 47, 28, 49, 10,  26,  130, 41, 31, 27, 129, 121, 23, 23, 52, 152, 24, 101, 156, 107, 105
